room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18721088,1288,17553340,Shared room,,Lake Tahoe,,Lake Tahoe,0,0.0,1,1.0,,35.0,,adrift,2017-05-18 23:03:13.998714,38.920385,-119.981853,0101000020E6100000B01EF7ADD6FE5DC04F5DF92CCF754340
18628161,1288,3415785,Entire home/apt,,Lake Tahoe,,Lake Tahoe,4,5.0,14,6.0,,1293.0,,Blue Water Cove - Lakefront,2017-05-18 22:00:24.580025,39.232653,-120.001063,0101000020E6100000158F8B6A11005EC07C28D192C79D4340
18628116,1288,3415785,Entire home/apt,,Lake Tahoe,,Lake Tahoe,2,0.0,16,6.0,,1650.0,,Lakeshore Retreat Incline Village,2017-05-18 21:34:02.175394,39.237384,-119.937313,0101000020E61000006747AAEFFCFB5DC0FD4B5299629E4340
18628120,1288,3415785,Entire home/apt,,Lake Tahoe,,Lake Tahoe,2,0.0,12,5.0,,900.0,,Mountain Retreat - Incline Lakeview,2017-05-18 21:33:38.225988,39.257815,-119.979818,0101000020E61000000E828E56B5FE5DC089B5F81400A14340
18628163,1288,3415785,Entire home/apt,,Lake Tahoe,,Lake Tahoe,11,5.0,10,4.0,,708.0,,The Frontier In Incline Village,2017-05-18 21:33:37.221515,39.245336,-119.963177,0101000020E61000009AD024B1A4FD5DC00744882B679F4340
2692860,1288,13781808,Entire home/apt,,Lake Tahoe,,Lake Tahoe,19,4.5,10,3.0,,185.0,,"Large House, Hot Tub, Pet Friendly ",2017-05-18 20:27:06.485439,38.901927,-119.984983,0101000020E61000006C0723F609FF5DC090300C5872734340
16871335,1288,111814568,Entire home/apt,,Lake Tahoe,,Lake Tahoe,0,0.0,10,3.0,,121.0,,Carnelian Woods Treasure,2017-05-18 20:15:36.490131,39.227747,-120.079822,0101000020E610000015E0BBCD1B055EC08D614ED0269D4340
18658939,1288,129595169,Entire home/apt,,Lake Tahoe,,Lake Tahoe,0,0.0,8,3.0,,139.0,,Paloma Cozy Chalet,2017-05-18 20:15:07.162312,38.936326,-119.98503,0101000020E61000000CE544BB0AFF5DC07F32C687D9774340
15087024,1288,86748234,Entire home/apt,,Lake Tahoe,,Lake Tahoe,0,0.0,2,1.0,,105.0,,1BR Stateline Condo w/Scenic Mountain Views,2017-05-18 20:14:38.466556,38.975207,-119.892702,0101000020E6100000B9C4910722F95DC046EA3D95D37C4340
18779395,1288,5294901,Entire home/apt,,Lake Tahoe,,Lake Tahoe,0,0.0,8,3.0,,100.0,,Genuine Spectacular Lakeview - Peaceful Location,2017-05-18 20:14:22.784367,38.962064,-119.889029,0101000020E6100000840CE4D9E5F85DC05854C4E9247B4340
16871341,1288,111814568,Entire home/apt,,Lake Tahoe,,Lake Tahoe,0,0.0,8,3.0,,99.0,,Muletail Lodge,2017-05-18 20:14:19.012809,39.216178,-120.094657,0101000020E610000099D53BDC0E065EC0AE0E80B8AB9B4340
16871347,1288,111814568,Entire home/apt,,Lake Tahoe,,Lake Tahoe,0,0.0,4,2.0,,90.0,,Walker Cabin,2017-05-18 20:14:18.956868,39.218386,-120.091956,0101000020E6100000F12A6B9BE2055EC0BFF38B12F49B4340
16871331,1288,111814568,Entire home/apt,,Lake Tahoe,,Lake Tahoe,0,0.0,6,2.0,,85.0,,Carnelian Bay Gem Vacation Rental,2017-05-18 20:14:18.935319,39.22609,-120.080753,0101000020E61000007383A10E2B055EC0F0F96184F09C4340
